,title,author,rating,publisher,page_count,generes,language
113,The Black Box,Michael Connelly,4,Hachette UK,448,Fiction,English
114,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4,Random House,576,Social Science,English
115,And Then There Were None,Agatha Christie,4.5999999999999996,HarperCollins UK,224,Thrillers,English
116,After Anna,Alex Lake,4.0999999999999996,HarperCollins UK,416,Mystery,English
117,The Mysterious Affair at Styles,Agatha Christie,4.4000000000000004,HarperCollins UK,208,Detective,English
118,Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,3.7999999999999998,Harper Collins,336,Economics,English
119,Start Day Trading Now: A Quick and Easy Introduction to Making Money While Managing Your Risk,Michael Sincere,5,Simon and Schuster,224,Economics,English
120,The Secrets of Saving and Investing with Alvin Hall: Simple Strategies to Make Your Money Go Further,Alvin Hall,3.7000000000000002,Hachette UK,30,Finance,English
121,Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,4,HarperCollins UK,304,Business,English
122,"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series",David Lagercrantz,4.0999999999999996,Vintage Crime/Black Lizard,416,Thrillers,English
123,The Black Box,Michael Connelly,4,Hachette UK,448,Thrillers,English
124,Shantaram,Gregory David Roberts,4.5,Hachette UK,944,Thrillers,English
125,The Joker,Brian Azzarello,4.4000000000000004,DC,130,Comics,English
126,And Then There Were None,Agatha Christie,4.5999999999999996,HarperCollins UK,224,Detective,English
127,The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,4.5999999999999996,Hachette UK,400,Fiction,English
128,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,4.5,HarperCollins UK,544,Thrillers,English
129,"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,4.2000000000000002,HarperCollins UK,416,Fiction,English
130,Permanent Record,Edward Snowden,4.5999999999999996,Metropolitan Books,352,Biography,English
131,The Guardians: The explosive new thriller from international bestseller John Grisham,John Grisham,,Hachette UK,384,Legal,English
132,Antiques Knock-Off,Barbara Allan,4.2999999999999998,Kensington Publishing Corp.,240,Mystery,English
133,The Vagrant (The Vagrant Trilogy),Peter Newman,4.2000000000000002,HarperCollins UK,416,Fantasy,English
134,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,4.2999999999999998,Harper Collins,304,Business,English
135,The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,4.5999999999999996,Hachette UK,400,Epic,English
136,Venomized,Cullen Bunn,4.5,Marvel Entertainment,136,Comics,English
137,Mrs. Pollifax Unveiled,Dorothy Gilman,3.8999999999999999,Ballantine Books,208,Detective,English
138,"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,4.5,HarperCollins UK,4544,Epic,English
139,The Way Of Shadows: Book 1 of the Night Angel,Brent Weeks,4.7000000000000002,Hachette UK,688,Epic,English
140,Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,4,HarperCollins UK,304,Economics,English
141,The Vagrant (The Vagrant Trilogy),Peter Newman,4.2000000000000002,HarperCollins UK,416,Fiction,English
142,Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,3.7999999999999998,Harper Collins,336,Social Science,English
143,Personal Success (The Brian Tracy Success Library),Brian Tracy,,AMACOM,112,Business,English
144,"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,4.7000000000000002,Berrett-Koehler Publishers,144,Economics,English
145,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4000000000000004,Morgan Rice,250,Fiction,English
146,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.2000000000000002,Simon and Schuster,320,Fiction,English
147,Young Justice Vol. 1,Art Baltazar,4.0999999999999996,DC,164,Superheroes,English
148,Watching (The Making of Riley Paige—Book 1),Blake Pierce,4.5999999999999996,Blake Pierce,250,Detective,English
149,Management (The Brian Tracy Success Library),Brian Tracy,,AMACOM,112,Management,English
150,Final Option: 'The best one yet',Clive Cussler,5,Penguin UK,400,Mystery,English
151,Once Missed (A Riley Paige Mystery—Book 16),Blake Pierce,4.4000000000000004,Blake Pierce,250,Mystery,English
152,Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,4.5,Blake Pierce,250,Mystery,English
153,Summary: Think and Grow Rich,Nine99 Innovation Lab,,Nine99 Innovation Lab (OPC) Pvt Ltd,14,Economics,English
154,We,Yevgeny Zamyatin,4.2999999999999998,Pan,226,Fiction,English
155,We,Yevgeny Zamyatin,4.2999999999999998,Pan,226,Fantasy,English
156,And Then There Were None,Agatha Christie,4.5999999999999996,HarperCollins UK,224,Mystery,English
157,A Trace of Crime (a Keri Locke Mystery--Book #4),Blake Pierce,4.7000000000000002,Blake Pierce,250,Mystery,English
158,Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,Brent Schlender,4.5999999999999996,Crown Business,464,Biography,English
159,Summary: Think and Grow Rich,Nine99 Innovation Lab,,Nine99 Innovation Lab (OPC) Pvt Ltd,14,Business,English
160,"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,4.5,HarperCollins UK,4544,Adventure,English
161,Personal Success (The Brian Tracy Success Library),Brian Tracy,,AMACOM,112,Economics,English
162,A Trace of Crime (a Keri Locke Mystery--Book #4),Blake Pierce,4.7000000000000002,Blake Pierce,250,Detective,English
163,Permanent Record,Edward Snowden,4.5999999999999996,Metropolitan Books,352,Biography,English
164,In Dark Company: A Kate Burkholder Short Story,Linda Castillo,4.2999999999999998,Minotaur Books,60,Fiction,English
165,"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series",David Lagercrantz,4.0999999999999996,Vintage Crime/Black Lizard,416,Mystery,English
166,The Black Box,Michael Connelly,4,Hachette UK,448,Crime,English
167,Start Day Trading Now: A Quick and Easy Introduction to Making Money While Managing Your Risk,Michael Sincere,5,Simon and Schuster,224,Business,English
168,Once Missed (A Riley Paige Mystery—Book 16),Blake Pierce,4.4000000000000004,Blake Pierce,250,Detective,English
169,Rework,Jason Fried,4.0999999999999996,Currency,288,Business,English
170,"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,4.2000000000000002,HarperCollins UK,416,Fantasy,English
171,Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,4,HarperCollins UK,304,Psychology,English
172,Shantaram,Gregory David Roberts,4.5,Hachette UK,944,Detective,English
173,Edgedancer: From the Stormlight Archive,Brandon Sanderson,4.7999999999999998,Tor Books,226,Adventure,English
174,Immortal Hulk Vol. 1: Or Is He Both?,Al Ewing,4.4000000000000004,Marvel Entertainment,128,Superheroes,English
175,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.2000000000000002,Simon and Schuster,320,Mystery,English
176,The Secrets of Saving and Investing with Alvin Hall: Simple Strategies to Make Your Money Go Further,Alvin Hall,3.7000000000000002,Hachette UK,30,Money Management,English
